age_ka,cmcd,MgCa,BWT,d18O_sw,RSL,RSL_smooth
2383.5,101.1,1.6,2.9,0.17,-7,-12.2
2386.8,101.3,1.63,3.1,0.37,-27.2,-13.6
2389.7,101.4,1.42,1.7,0.16,-6.5,-20.7
2392.6,101.6,1.52,2.4,0.39,-28.5,-19.5
2394.9,101.7,1.57,2.7,0.33,-23.5,-11.1
2423.5,103.3,1.47,2.1,-0.09,18.7,-18.1
2426.6,103.4,1.7,3.6,0.6,-49.6,-10
2429.2,103.6,1.24,0.5,0.09,1,-31.6
2431.8,103.7,1.33,1.2,0.56,-46.2,-42.6
2434.4,103.9,1.53,2.5,0.93,-82.8,-60.2
2437.3,104,1.39,1.6,0.62,-51.5,-48.6
2440.2,104.2,1.19,0.2,0.21,-11.5,-23.5
2443.1,104.3,1.25,0.6,0.17,-7.5,-11.7
2445.9,104.5,1.4,1.6,0.26,-16.1,1.4
2448.7,104.6,1.19,0.2,-0.18,27.7,6.8
2451.5,104.8,1.31,1,0.01,8.9,-1.2
2454.7,104.9,1.73,3.8,0.5,-40.2,-5
2466,105.4,1.54,2.5,-0.06,16.2,-10.1
2469.9,105.5,1.62,3,0.16,-6.4,-14.8
2473.8,105.7,1.85,4.6,0.64,-54.2,-20.7
2477.4,105.8,1.35,1.3,0.11,-1.4,-30.3
2480.5,106,1.36,1.3,0.45,-35.2,-53.4
2483.4,106.1,1.85,4.6,1.34,-123.6,-61.9
2486.3,106.3,1.28,0.8,0.37,-26.8,-66.9
2489.1,106.4,1.46,2,0.6,-50.4,-31.7
2492,106.6,1.46,2,0.28,-18,-46
2508.3,107.3,1.92,5,0.8,-69.6,-36.5
2512.5,107.5,1.29,0.9,0.32,-21.8,-49.5
2516.5,107.6,1.35,1.3,0.67,-57.1,-42.3
2520.1,107.8,1.26,0.7,0.58,-48.1,-53.2
2523.1,107.9,1.34,1.2,0.64,-54.5,-50.3
2526.1,108.1,1.36,1.4,0.58,-48.3,-47.6
2529.9,108.3,1.36,1.4,0.5,-40.1,-36.1
2533.3,108.4,1.35,1.2,0.3,-20,-29.4
2537.8,108.5,1.57,2.7,0.38,-28.2,-28.5
2542.5,108.7,1.76,4,0.47,-37.2,-31.2
2547.2,108.8,1.75,3.9,0.38,-28.2,-27
2556.6,109.1,1.66,3.4,0.26,-15.7,-2.8
2560.6,109.3,1.34,1.2,-0.25,35.4,1.8
2565,109.5,1.61,3,0.24,-14.3,-5.6
2567.5,109.6,1.71,3.7,0.48,-37.8,-24.7
2576.2,110,1.68,3.5,0.32,-21.9,-10.5
2579.1,110.2,1.43,1.8,-0.18,28.1,-5.1
2582.1,110.3,1.73,3.8,0.32,-21.6,4.1
2585,110.5,1.6,3,0.04,5.8,-15.6
2587.8,110.6,1.81,4.3,0.41,-31.1,-9.3
2590.9,110.8,1.62,3,0.13,-2.5,-26
2593.1,110.9,1.77,4.1,0.54,-44.4,-24.9
2595.7,111.1,1.59,2.9,0.38,-27.9,-36.3
2601.8,111.4,1.5,2.2,0.47,-36.7,-26
2609.2,111.8,1.43,1.8,0.24,-13.5,-39.5
2612.1,111.9,1.82,4.4,0.78,-68.3,-20.2
2615.7,112,1.45,1.9,-0.11,21.3,-9
2665.9,113.9,1.43,1.8,-0.1,19.9,22.4
2680,114.4,1.41,1.7,-0.16,26,9.2
2683.8,114.6,1.48,2.1,0.28,-18.2,-11.9
2689.3,114.9,1.6,2.9,0.54,-43.5,-20.3
2696,115.3,1.47,2.1,0.09,0.7,-11.1
2698.3,115.4,1.38,1.4,0,9.6,13.9
2701,115.5,1.25,0.6,-0.21,31.4,15.1
2704,115.7,1.22,0.4,0.06,4.4,0
2713.2,116.1,1.38,1.5,0.46,-35.8,-21.2
2715.8,116.2,1.32,1.1,0.42,-32.1,-35.7
2718.6,116.3,1.35,1.3,0.49,-39,-40.8
2721.4,116.5,1.51,2.3,0.61,-51.2,-45.8
2724.7,116.6,1.76,4,0.57,-47.3,-55.3
2728,116.7,1.93,5.1,0.77,-67.3,-66.1
2731.9,116.8,2.04,5.9,0.94,-83.9,-77.7
2736.5,117,2.04,5.9,0.92,-82,-67.8
2739.1,117.1,1.8,4.3,0.48,-37.6,-49.6
2744.8,117.2,1.81,4.3,0.39,-29.3,-37.6
2751.4,117.4,1.93,5.1,0.56,-46,-31.7
2771.2,117.9,1.78,4.1,0.3,-19.8,-38.9
2774.6,118,1.66,3.3,0.61,-51,-54.5
2777.2,118.2,1.87,4.7,1.03,-92.6,-53.3
2780,118.3,1.61,3,0.26,-16.1,-28
2783,118.4,1.48,2.1,-0.15,24.7,12.6
2786.2,118.6,1.51,2.3,-0.19,29.1,32.6
2789.1,118.7,1.46,2,-0.34,44,25.8
2792.2,118.8,1.58,2.8,0.06,4.3,2.2
2795.5,119,1.81,4.3,0.52,-41.7,-30.4
2804,119.4,1.74,3.9,0.64,-53.8,-50.9
2806.5,119.6,1.73,3.8,0.67,-57.3,-71.5
2817.9,120,2.1,6.3,1.14,-103.6,-54.7
2821,120.2,1.69,3.5,0.13,-3.4,-29.7
2846.4,121,1.49,2.2,-0.08,17.9,8
2859.9,121.5,1.54,2.6,0.01,9.5,16.9
2864.1,121.6,1.56,2.6,-0.13,23.2,23.1
2867.9,121.8,1.49,2.2,-0.27,36.6,6.9
2871.1,121.9,1.96,5.3,0.49,-39.1,-7.6
2874.4,122.1,1.75,4,0.3,-20.3,-14.8
2877.6,122.2,1.55,2.6,-0.05,15.2,8.6
2895.2,123.1,1.57,2.7,-0.21,31.1,28.7
2898.5,123.3,1.61,3,-0.3,39.8,11.8
2901.9,123.5,2.03,5.8,0.45,-35.4,0.2
2905.9,123.7,1.75,3.9,0.14,-3.9,-25.5
2909.4,123.8,1.85,4.6,0.47,-37.1,-15
2919.1,124.2,1.6,2.9,0.14,-3.9,-16.2
2923.5,124.4,1.61,3,0.18,-7.6,6.1
2927.3,124.5,1.58,2.8,-0.2,29.8,3.9
2931.9,124.7,1.69,3.5,0.2,-10.4,3.9
2935.4,124.8,1.62,3.1,0.18,-7.6,-12.1
2938.5,125,1.82,4.4,0.28,-18.4,2.3
2941.1,125.1,1.59,2.9,-0.23,32.9,-2.9
2943.9,125.2,1.98,5.5,0.33,-23.3,3.5
2946.9,125.4,1.89,4.9,0.09,0.9,-20.8
2949.8,125.5,2.15,6.6,0.5,-40.1,-26.7
2952.5,125.7,2.14,6.5,0.51,-40.8,-33.6
2954.5,125.8,1.97,5.4,0.3,-19.9,-26.8
2957,125.9,1.93,5.1,0.3,-19.8,-32.7
2962.7,126.2,2.12,6.4,0.68,-58.4,-43.3
2970.2,126.5,1.9,4.9,0.62,-51.6,-49.2
2973.8,126.6,1.81,4.3,0.48,-37.8,-44.7
2977.3,126.8,1.9,4.9,0.55,-44.8,-26.6
2982,127,1.65,3.3,0.07,2.7,-23.9
2985.7,127.1,1.94,5.2,0.4,-29.6,-14
2988.9,127.3,1.86,4.7,0.25,-15.1,-27
2991.9,127.4,1.89,4.8,0.47,-36.5,-18
2997.1,127.6,1.69,3.6,0.13,-2.6,-17.3
3000.8,127.8,1.79,4.2,0.23,-12.9,-17.3
3004.4,127.9,1.92,5,0.46,-36.3,-22
3009,128.1,1.75,3.9,0.27,-16.7,-19.6
3014,128.3,1.63,3.1,0.16,-5.7,-3.3
3022.5,128.5,1.56,2.6,-0.03,12.5,0.6
3026.5,128.7,1.68,3.5,0.15,-5,1.1
3030.4,128.8,1.81,4.3,0.14,-4.3,-22.6
3033.6,129,2.17,6.7,0.68,-58.4,-17.5
3038,129.1,1.72,3.7,0,10.1,-29.1
3042.6,129.3,1.86,4.6,0.49,-39,-11.5
3046.2,129.5,1.63,3.2,0.16,-5.5,-16.4
3049.8,129.6,1.69,3.5,0.15,-4.7,-1.1
3053.8,129.8,1.73,3.8,0.03,7.1,-11.7
3056.4,129.9,2.01,5.7,0.47,-37.4,0.4
3060.2,130.1,1.71,3.7,-0.22,31.6,14.7
3063.1,130.2,1.69,3.5,-0.4,49.8,27.8
3066.5,130.4,1.85,4.6,0.08,2,11.4
3070.2,130.5,1.91,5,0.28,-17.8,-2.4
3074.1,130.7,1.75,3.9,0.02,8.4,-6.9
3079.2,130.8,1.94,5.2,0.21,-11.4,-9.1
3085.9,131.1,1.97,5.4,0.34,-24.1,-19.7
3089.5,131.3,1.93,5.2,0.33,-23.4,-17.4
3094.4,131.5,1.83,4.5,0.15,-4.6,-5.6
3103.9,131.8,1.72,3.7,-0.01,11.2,-14.2
3107,131.9,2.08,6.2,0.59,-49.3,-8.5
3145.5,132.9,1.71,3.6,-0.03,12.7,-26
3146.7,133,2.03,5.8,0.51,-41.4,-20.2
3149.6,133.1,2.09,6.2,0.42,-31.8,-32.4
3154.1,133.4,2.1,6.3,0.34,-24,
