Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,"Supplemental File 1. Stable isotope measurements from ODP Leg 198 Hole 1208A. Values listed here include the averages of replicate samples (if Gs. ruber and Gs. obliquus were run in the same sample, we also averaged those values and indicated so with 'Both' in under Species).",,,,,,,
198,1208A,"19H-1, 30-32",166.5,3.962,3962.329,Gs. obliquus,0.666,0.351,,,,,,,,
198,1208A,18H-CC-20-22,166.6,3.966,3966.137,Gs. ruber,1.354,-0.720,,,,,,,,
198,1208A,"19H-1, 50-52",166.7,3.970,3969.945,Gs. obliquus,1.314,-1.101,,,,,,,,
198,1208A,"19H-1, 97-99",167.18,3.988,3988.223,Gs. obliquus,1.470,-1.456,,,,,,,,
198,1208A,"19H-1, 110-112",167.31,3.993,3993.173,Gs. obliquus,1.079,-0.750,,,,,,,,
198,1208A,"19H-1, 122-124",167.43,3.998,3997.743,Gs. obliquus,1.431,-1.511,,,,,,,,
198,1208A,"19H-1, 130-132",167.51,4.001,4000.789,Gs. obliquus,1.319,-1.485,,,,,,,,
198,1208A,"19H-2, 77-79",168.48,4.038,4037.727,Gs. obliquus,1.022,-0.635,,,,,,,,
198,1208A,"19H-3, 26-28",169.47,4.075,4075.426,Gs. obliquus,1.052,-1.084,,,,,,,,
198,1208A,"19H-3, 48-50",169.69,4.084,4083.803,Gs. obliquus,1.336,-1.320,,,,,,,,
198,1208A,"19H-3, 125-127",170.46,4.113,4113.125,Gs. obliquus,1.197,-1.439,,,,,,,,
198,1208A,"19H-4, 25-27",170.96,4.132,4132.165,Gs. obliquus,0.880,-0.068,,,,,,,,
198,1208A,"19H-4, 77-79",171.48,4.152,4151.966,Gs. obliquus,0.943,-0.561,,,,,,,,
198,1208A,"19H-5, 48-50",172.69,4.195,4195.052,Gs. obliquus,1.016,-0.663,,,,,,,,
198,1208A,"19H-5, 98-100",173.19,4.209,4208.934,Gs. obliquus,1.064,-0.806,,,,,,,,
198,1208A,"19H-5, 124-146",173.45,4.216,4216.152,Gs. obliquus,0.908,-1.560,,,,,,,,
198,1208A,"19H-6, 26-28",173.97,4.231,4230.590,Gs. obliquus,0.699,-0.411,,,,,,,,
198,1208A,"19H-6, 100-102",174.71,4.251,4251.135,Gs. obliquus,1.133,-1.899,,,,,,,,
198,1208A,"19H-7, 50-52",175.71,4.279,4278.899,Gs. obliquus,1.287,-1.218,,,,,,,,
198,1208A,"20H-1, 27-29",175.97,4.286,4286.118,Gs. obliquus,1.288,-1.745,,,,,,,,
198,1208A,"20H-1, 48-50",176.19,4.292,4292.226,Gs. obliquus,1.280,-1.087,,,,,,,,
198,1208A,"20H-1, 125-127",176.96,4.316,4315.657,Gs. obliquus,1.021,-0.468,,,,,,,,
198,1208A,"20H-2, 25-27",177.46,4.332,4331.634,Gs. obliquus,0.426,-0.259,,,,,,,,
198,1208A,"20H-2, 50-52",177.71,4.340,4339.623,Gs. obliquus,1.333,-0.757,,,,,,,,
198,1208A,"20H-2, 77-79",177.98,4.348,4348.250,Gs. obliquus,1.065,-0.951,,,,,,,,
198,1208A,"20H-3, 50-52",179.21,4.388,4387.553,Gs. obliquus,2.189,-2.069,,,,,,,,
198,1208A,"20H-4, 50-52",180.71,4.435,4435.483,Gs. obliquus,1.244,-0.692,,,,,,,,
198,1208A,"20H-4, 77-79",180.98,4.444,4444.111,Gs. obliquus,1.354,-0.924,,,,,,,,
198,1208A,"20H-4, 100-102",181.21,4.451,4451.460,Gs. obliquus,0.998,-0.407,,,,,,,,
198,1208A,"20H-4, 127-129",181.47,4.460,4459.768,Gs. obliquus,0.736,-1.005,,,,,,,,
198,1208A,"20H-5, 50-52",182.21,4.483,4483.414,Gs. obliquus,0.845,-0.737,,,,,,,,
198,1208A,"20H-6, 25-27",183.46,4.537,4537.441,Gs. obliquus,1.088,-0.551,,,,,,,,
198,1208A,"20H-6, 50-52",183.71,4.549,4549.136,Gs. obliquus,0.985,-0.576,,,,,,,,
198,1208A,"20H-7, 50-52",185.21,4.619,4619.305,Gs. obliquus,1.006,-0.775,,,,,,,,
198,1208A,"21X-4, 77-79",190.47,4.866,4865.723,Gs. obliquus,1.105,-1.706,,,,,,,,
198,1208A,"22X-1, 50-52",190.91,4.890,4890.393,Gs. obliquus,0.544,-0.797,,,,,,,,
198,1208A,21X-CC,190.94,4.892,4892.075,Gs. obliquus,1.058,-1.173,,,,,,,,
198,1208A,"22X-1, 77-79",191.18,4.902,4901.575,Gs. obliquus,1.083,-0.986,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
