Longitude,Latitude,Depth,pTemperature,Salinity,d18O,dD,Year,Month,Reference,
134.5,74,2,3.4,15.51,-11.68,**,1994,9,Mueller-Lupp et al (2003),
129.97,73.48,0,**,15.54,-14.23,**,1992,4,Bauch et al (1995),
-152.29,71.7,2,-1.19,15.88,-1.44,**,2002,8,Cooper et al (2005),
125.99,74,8,2.69,15.95,-11.31,**,1994,9,Mueller-Lupp et al (2003),
142,54,3,12.1,16.3,-8.22,**,2000,6,Yamamoto et al (2002),
134,72,11,1.34,16.33,-10.77,**,1994,9,Mueller-Lupp et al (2003),
142,54.5,3,12.05,16.69,-7.78,**,2000,6,Yamamoto et al (2002),
-159.59,71.05,1,-0.23,17.15,-1.08,**,2002,7,Cooper et al (2005),
132,74,6,**,17.29,-11.65,**,1989,9,Letolle et al (1993),
133.5,74,2,3.32,17.53,-11.81,**,1994,9,Mueller-Lupp et al (2003),
133.5,74,2,3.32,17.53,-11.72,**,1994,9,Frank (1996),
131,73,3,**,17.92,-11.2,**,1989,9,Letolle et al (1993),
127.5,74.5,2,2.68,17.96,-8.87,**,1994,9,Mueller-Lupp et al (2003),
128.51,74.5,2,2.65,18.07,-8.8,**,1994,9,Mueller-Lupp et al (2003),
132.5,74.5,2,3.17,18.08,-10.7,**,1994,9,Frank (1996),
132.5,74.5,2,3.17,18.08,-8.68,**,1994,9,Mueller-Lupp et al (2003),
-153.33,57.2,0,11.11,18.1,-6.44,**,2003,6,Taylor (2004 pers. comm.),
-153.33,57.2,0,11.11,18.1,-6.44,**,2003,6,Taylor (2004 pers. comm.),
129.5,74.5,2,2.93,18.12,-10.52,**,1994,9,Mueller-Lupp et al (2003),
164.66,69.83,0,7.07,18.23,-9.47,**,1995,8,Munchow et al (1999),
132.51,74,6,3.2,18.35,-10.34,**,1994,9,Mueller-Lupp et al (2003),
131,72.5,11,**,18.7,-11,**,1989,9,Letolle et al (1993),
142,54,5,10.83,18.8,-7.52,**,2000,6,Yamamoto et al (2002),
-152.47,57.45,0,8.89,19.2,-6.05,**,2003,6,Taylor (2004 pers. comm.),
-152.47,57.45,0,8.89,19.2,-5.99,**,2003,6,Taylor (2004 pers. comm.),
142,53.99,5,11.37,19.38,-5.76,**,1999,9,Yamamoto et al (2002),
142,53.99,3,11.38,19.4,-5.77,**,1999,9,Yamamoto et al (2002),
-141.4,71.45,0,-1.17,19.49,-6.64,**,1984,10,Ostlund and Grall (1993),
128.25,73.75,0,**,19.9,-10.69,**,1992,4,Bauch et al (1995),
126.5,74.5,2,1.56,19.93,-8.86,**,1994,9,Mueller-Lupp et al (2003),
-141.4,71.45,5,-1.1,19.94,-6.5,**,1984,10,Ostlund and Grall (1993),
131,74.5,7,**,19.98,-10.3,**,1989,9,Letolle et al (1993),
131,74.5,8,**,20.16,-10.3,**,1989,9,Letolle et al (1993),
134,73,13,-0.23,20.16,-8.54,**,1994,9,Mueller-Lupp et al (2003),
131,73.5,9,**,20.49,-9.9,**,1989,9,Letolle et al (1993),
133.5,74.5,2,2.84,20.62,-8.29,**,1994,9,Mueller-Lupp et al (2003),
133.5,74.5,5,2.84,20.63,-9.29,**,1994,9,Mueller-Lupp et al (2003),
134.5,74,9,2.34,20.82,-8.35,**,1994,9,Mueller-Lupp et al (2003),
131,75,8,**,20.87,-9.9,**,1989,9,Letolle et al (1993),
126.5,74.5,2,0.87,21.06,-9.01,**,1994,9,Frank (1996),
-129.67,70.42,0,**,21.14,-9.18,**,1991,5,Macdonald et al (1995),
142,53.99,10,12.1,21.15,-5.08,**,1999,9,Yamamoto et al (2002),
130.5,74.5,2,3.13,21.24,-9.38,**,1994,9,Mueller-Lupp et al (2003),
130.5,74.5,2,3.12,21.24,-9.28,**,1994,9,Frank (1996),
131.5,70.5,12,**,21.32,-9.9,**,1989,9,Letolle et al (1993),
-143.42,72.57,0,-0.9,21.52,-4.65,**,1984,10,Ostlund and Grall (1993),
-143.47,72.58,0,**,21.52,-4.43,**,1990,9,Macdonald et al (1995),
132.5,74.5,10,2.88,21.55,-8.59,**,1994,9,Mueller-Lupp et al (2003),
134.5,74.5,2,2.53,21.58,-8.8,**,1994,9,Mueller-Lupp et al (2003),
-113.27,68.47,0,5.8,21.8,-5.95,**,1977,8,Bedard et al (1981),
-152.5,57.65,0,11.67,22,-5.46,**,2003,6,Taylor (2004 pers. comm.),
-152.5,57.65,0,11.67,22,-5.45,**,2003,6,Taylor (2004 pers. comm.),
-139.07,70.41,0,**,22.04,-4.58,**,1990,9,Macdonald et al (1995),
136,74.5,2,2.49,22.08,-9.11,**,1994,9,Mueller-Lupp et al (2003),
131,73,10,**,22.27,-9.4,**,1989,9,Letolle et al (1993),
133.5,74,8,2.36,22.27,-9.33,**,1994,9,Mueller-Lupp et al (2003),
-178.64,68.79,5,-1.22,22.27,-2.08,**,1993,9,Cooper et al (1999),
-151.17,70.73,1,5.5,22.3,-5.52,**,1977,7,Bedard et al (1981),
-133.45,69.9,5,**,22.38,-8.1,**,1986,3,H. Melling (pers. comm.),
143.59,54,0,17.58,22.59,-5.15,**,1998,7,Yamamoto et al (2002),
135,74,14,2.51,22.77,-8.39,**,1994,9,Mueller-Lupp et al (2003),
-155.02,71.83,2,-1.02,23.16,-1.78,**,2002,7,Cooper et al (2005),
132,74,9,**,23.18,-8.7,**,1989,9,Letolle et al (1993),
132,74.5,2,**,23.18,-8.6,**,1989,9,Letolle et al (1993),
131,72,11,**,23.5,-9.3,**,1989,9,Letolle et al (1993),
132,74.5,13,**,23.5,-8.6,**,1989,9,Letolle et al (1993),
-138.92,69.57,1,8.6,23.5,-5.29,**,1977,7,Bedard et al (1981),
-166.44,65.29,14,8.41,23.59,-5.6,**,1992,8,Cooper et al (1997),
-154.22,71.03,1,6,23.6,-5.19,**,1977,7,Bedard et al (1981),
-139.07,70.41,5,**,23.63,-4.12,**,1990,9,Macdonald et al (1995),
-133.42,69.9,1,10.8,23.74,-7.07,**,1984,10,Ostlund and Grall (1993),
-133.35,69.78,1,10.5,24.02,-6.95,**,1984,10,Ostlund and Grall (1993),
171.82,70.33,0,4.05,24.02,-2.17,**,1995,8,Munchow et al (1999),
165,70.17,0,3.58,24.06,-5.95,**,1995,8,Munchow et al (1999),
178.39,70.08,0,0.16,24.08,-2.67,**,1993,8,Cooper et al (1999),
178.5,70.5,0,3.17,24.11,-2.42,**,1995,8,Munchow et al (1999),
178.39,70.08,5,0.35,24.34,-2.42,**,1993,8,Cooper et al (1999),
143,55,5,10.88,24.42,-4.6,**,2000,6,Yamamoto et al (2002),
-154.28,71.35,0,0.94,24.52,-2.66,**,1992,8,Cooper et al (1997),
132,75,8,**,24.71,-7.9,**,1989,9,Letolle et al (1993),
-139.07,70.41,10,**,24.72,-3.96,**,1990,9,Macdonald et al (1995),
134.5,74.5,13,2.24,24.76,-7.11,**,1994,9,Mueller-Lupp et al (2003),
-133.35,69.67,1,9.5,24.79,-6.59,**,1984,10,Ostlund and Grall (1993),
167.45,70.83,0,-1.12,24.84,-4.75,**,1995,8,Munchow et al (1999),
-154.28,71.35,5,1.05,24.86,-2.48,**,1992,8,Cooper et al (1997),
-137.9,70.9,0,**,25,,-28.4,**,**,Friedman et al (1961),Friedman and Redfield (1969)
156,80.15,3,0.82,25.02,-4.94,**,2007,9,Abrahamsen et al (2009),
174.93,70.3,0,1.28,25.03,-1.08,**,1995,8,Munchow et al (1999),
132,75,9,**,25.09,-7.2,**,1989,9,Letolle et al (1993),
158.58,79.47,8,0.93,25.09,-4.95,**,2007,9,Abrahamsen et al (2009),
158.58,79.47,2,0.93,25.09,-4.91,**,2007,9,Abrahamsen et al (2009),
156.82,78.75,2,1.05,25.15,-4.92,**,2007,9,Abrahamsen et al (2009),
155.72,78.27,2,1.37,25.15,-4.19,**,2007,9,Abrahamsen et al (2009),
155.72,78.27,7,1.37,25.15,-4.13,**,2007,9,Abrahamsen et al (2009),
155.72,78.27,0,1.37,25.15,-4.12,**,2007,9,Abrahamsen et al (2009),
155.72,78.27,10,1.37,25.16,-4.17,**,2007,9,Abrahamsen et al (2009),
155.72,78.27,11,1.37,25.16,-4.13,**,2007,9,Abrahamsen et al (2009),
156.82,78.75,7,1.08,25.18,-4.82,**,2007,9,Abrahamsen et al (2009),
143.59,54,10,12.19,25.19,-4.04,**,1998,7,Yamamoto et al (2002),
178.02,69.59,0,0.11,25.21,-2.5,**,1993,8,Cooper et al (1999),
132,75.5,2,0.81,25.23,-6.75,**,1994,9,Frank (1996),
132.01,75.5,2,0.81,25.24,-6.98,**,1994,9,Mueller-Lupp et al (2003),
132.01,75.5,10,0.73,25.28,-6.91,**,1994,9,Mueller-Lupp et al (2003),
136.73,75.95,2,0.52,25.29,-6.39,**,1994,9,Frank (1996),
136.74,75.95,2,0.52,25.29,-5.89,**,1994,9,Mueller-Lupp et al (2003),
157.78,79.15,3,1.39,25.32,-4.39,**,2007,9,Abrahamsen et al (2009),
156.82,78.75,11,1.07,25.34,-4.74,**,2007,9,Abrahamsen et al (2009),
157.78,79.15,7,1.41,25.34,-4.25,**,2007,9,Abrahamsen et al (2009),
-167.13,62.31,0,8.91,25.4,-5.91,**,1990,6,Cooper et al (1997),
155.72,78.27,14,1.26,25.4,-4.17,**,2007,9,Abrahamsen et al (2009),
143.83,54,0,16.37,25.45,-4.33,**,1998,7,Yamamoto et al (2002),
159.4,79.77,2,0.86,25.5,-4.51,**,2007,9,Abrahamsen et al (2009),
136.74,75.95,13,0.33,25.57,-6.59,**,1994,9,Mueller-Lupp et al (2003),
143.97,54,0,16.57,25.62,-4.4,**,1998,7,Yamamoto et al (2002),
160.62,80.22,3,0.7,25.66,-4.65,**,2007,9,Abrahamsen et al (2009),
134,75.5,2,0.48,25.74,-5.83,**,1994,9,Mueller-Lupp et al (2003),
-176.75,69.83,0,1.91,25.75,-1.35,**,1995,8,Munchow et al (1999),
161.88,80.63,2,0.34,25.76,-4.17,**,2007,9,Abrahamsen et al (2009),
168.35,70.83,2,-0.64,25.87,-2.84,**,1995,8,Munchow et al (1999),
143.34,54.01,0,14.03,25.94,-4.56,**,1998,7,Yamamoto et al (2002),
-174.6,67.79,8,0.96,25.96,-4.23,**,1992,10,Cooper et al (1997),
-154.28,71.35,10,1.27,25.96,-1.94,**,1992,8,Cooper et al (1997),
152,80.27,2,0.9,26.02,-5.14,**,2007,9,Abrahamsen et al (2009),
-177.21,68.78,13,0.74,26.07,-4.14,**,1992,10,Cooper et al (1997),
-176.92,69.1,7,0.52,26.11,-4.02,**,1992,10,Cooper et al (1997),
-177.43,68.62,9,0.84,26.11,-3.88,**,1992,10,Cooper et al (1997),
-173.6,67.32,0,7.29,26.18,-2.88,**,1995,8,Munchow et al (1999),
-134.5,70.98,0,**,26.28,-3.43,**,1990,9,Macdonald et al (1995),
-134.5,70.98,5,**,26.29,-3.37,**,1990,9,Macdonald et al (1995),
177.93,69.9,6,-1.37,26.35,-3.1,**,1993,9,Cooper et al (1999),
-174,67.42,0,7.6,26.38,-2.62,**,1995,8,Munchow et al (1999),
-172.88,67.28,0,7.5,26.39,-2.8,**,1995,8,Munchow et al (1999),
-143.43,72.57,0,-0.99,26.4,-3.45,**,1984,10,Ostlund and Grall (1993),
167.45,70.83,0,1.56,26.4,-3.09,**,1995,8,Munchow et al (1999),
-177.55,69,4,-0.89,26.4,-2.1,**,1993,9,Cooper et al (1999),
-143.47,72.58,10,**,26.44,-3.64,**,1990,9,Macdonald et al (1995),
-134.5,70.98,10,**,26.45,-3.46,**,1990,9,Macdonald et al (1995),
163.99,70,0,3.64,26.55,-3.65,**,1995,8,Munchow et al (1999),
-174.52,73.99,10,-0.33,26.56,-2.74,**,2008,9,Polyak and Ortiz (2009, pers. comm.)
178.39,70.08,10,-0.27,26.56,-2.08,**,1993,8,Cooper et al (1999),
130.5,76,1,3.36,26.57,-5.89,**,2007,9,Abrahamsen et al (2009),
130.5,76,5,3.36,26.57,-5.66,**,2007,9,Abrahamsen et al (2009),
170.34,71.31,0,-0.19,26.58,-2.45,**,1995,8,Munchow et al (1999),
130.5,76,3,3.36,26.59,-5.89,**,2007,9,Abrahamsen et al (2009),
143.5,79.25,2,2.33,26.61,-5.51,**,2007,9,Abrahamsen et al (2009),
143.5,79.25,8,2.33,26.61,-5.44,**,2007,9,Abrahamsen et al (2009),
143.5,79.25,11,2.33,26.63,-5.55,**,2007,9,Abrahamsen et al (2009),
-167.43,62.41,0,8.21,26.63,-4.49,**,1990,6,Cooper et al (1997),
158.35,79.45,5,-1.44,26.66,-5.01,**,2008,10,Abrahamsen et al (2009),
-168,65.19,0,8.34,26.78,-4.42,**,1992,8,Cooper et al (1997),
143.59,54,3,9.73,26.8,-3.81,**,2000,6,Yamamoto et al (2002),
-174.35,67.48,0,6.95,26.82,-2.2,**,1995,8,Munchow et al (1999),
-159.09,73.71,2,-0.65,26.88,-3.48,**,2002,8,Cooper et al (2005),
-157.4,73.42,1,-0.53,26.9,-3.39,**,2002,8,Cooper et al (2005),
-176.5,70,0,4.02,26.93,-1.93,**,1995,8,Munchow et al (1999),
-149.7,59.52,0,**,26.96,-3.29,**,1982,9,Kipphut (1990),
169.5,71,0,1.25,26.99,-2.17,**,1995,8,Munchow et al (1999),
-168.21,65.69,10,5.05,27,-4.73,**,1993,9,Cooper et al (1999),
-157.4,73.42,2,-0.44,27.05,-3.51,**,2002,8,Cooper et al (2005),
-157.75,71.38,2,-1.34,27.05,-1.65,**,2002,7,Cooper et al (2005),
179.02,70.2,0,1.45,27.07,-1.88,**,1993,8,Cooper et al (1999),
130.5,74.25,0,3.72,27.08,-5.96,**,2007,9,Abrahamsen et al (2009),
134,73.5,13,-0.43,27.09,-9.93,**,1994,9,Mueller-Lupp et al (2003),
-156.68,71.48,1,2.7,27.1,-1.66,**,1977,7,Bedard et al (1981),
130.5,74.25,4,3.74,27.12,-5.83,**,2007,9,Abrahamsen et al (2009),
148.03,80.4,2,1.54,27.13,-5.04,**,2007,9,Abrahamsen et al (2009),
-168.32,65.7,10,5.23,27.13,-4.5,**,1993,9,Cooper et al (1999),
-173.99,67.99,5,1.22,27.15,-3.2,**,1992,10,Cooper et al (1997),
-152.56,71.45,9,-0.49,27.17,-1.63,**,2002,8,Cooper et al (2005),
142.68,79.62,2,2.54,27.18,-5.53,**,2007,9,Abrahamsen et al (2009),
166,70.33,0,4.05,27.18,-4.18,**,1995,8,Munchow et al (1999),
139.83,79.42,2,2.3,27.23,-5.43,**,2007,9,Abrahamsen et al (2009),
158.77,79.58,6,-1.48,27.24,-4.78,**,2008,10,Abrahamsen et al (2009),
-158.22,72.88,8,-0.92,27.26,-3.36,**,2002,8,Cooper et al (2005),
-155.13,71.78,0,0.27,27.26,-1.2,**,1992,8,Cooper et al (1997),
158.77,79.58,12,-1.49,27.27,-4.8,**,2008,10,Abrahamsen et al (2009),
-158.22,72.88,2,-0.9,27.29,-3.41,**,2002,8,Cooper et al (2005),
165.33,69.83,0,3.8,27.3,-4.18,**,1995,8,Munchow et al (1999),
-158.44,72.73,2,-0.98,27.33,-3.3,**,2002,8,Cooper et al (2005),
-170.66,67.07,6,0.57,27.33,-2.35,**,1993,9,Cooper et al (1999),
144.09,54,0,16.53,27.34,-3.15,**,1998,7,Yamamoto et al (2002),
-173.5,67.67,0,7.42,27.34,-2.13,**,1995,8,Munchow et al (1999),
-171.8,67.2,0,7.39,27.35,-2.12,**,1995,8,Munchow et al (1999),
143.33,54.01,4,12.74,27.36,-2.74,**,1999,9,Yamamoto et al (2002),
-178.64,68.79,22,-0.91,27.36,-2.12,**,1993,9,Cooper et al (1999),
179.24,70.06,0,4.9,27.38,-2.14,**,1995,8,Munchow et al (1999),
143.01,53.99,0,10.45,27.41,-3.49,**,1998,7,Yamamoto et al (2002),
130.5,74.25,9,3.89,27.43,-5.5,**,2007,9,Abrahamsen et al (2009),
-158.09,71.3,2,-0.95,27.43,-1.28,**,1993,8,Cooper et al (1999),
-174.22,67.89,11,1.6,27.45,-3.1,**,1992,10,Cooper et al (1997),
173.67,70.67,0,0.37,27.47,-2.06,**,1995,8,Munchow et al (1999),
-165.4,73.63,2,-0.23,27.49,-3.38,**,2002,8,Cooper et al (2005),
-158.6,71.2,3,-0.5,27.49,-1.21,**,1993,8,Cooper et al (1999),
130.5,74.75,0,3.46,27.53,-5.65,**,2007,9,Abrahamsen et al (2009),
128.02,75.5,2,-0.35,27.53,-4.38,**,1994,9,Mueller-Lupp et al (2003),
143.97,54,4,15.1,27.53,-3.27,**,1998,7,Yamamoto et al (2002),
130.5,74.75,7,3.47,27.54,-5.67,**,2007,9,Abrahamsen et al (2009),
130.48,75.25,0,3.38,27.54,-5.65,**,2007,9,Abrahamsen et al (2009),
130.48,75.25,2,3.38,27.54,-5.6,**,2007,9,Abrahamsen et al (2009),
158.35,79.45,12,-1.49,27.56,-4.97,**,2008,10,Abrahamsen et al (2009),
-176.43,69.32,10,-0.26,27.58,-2.81,**,1992,10,Cooper et al (1997),
180,69.6,0,6.28,27.6,-0.82,**,1995,8,Munchow et al (1999),
167,70.5,0,2.26,27.64,-3.38,**,1995,8,Munchow et al (1999),
-157.02,71.5,2,-1.07,27.64,-1.6,**,1993,8,Cooper et al (1999),
-157.02,71.5,5,-1.05,27.64,-1.47,**,1993,8,Cooper et al (1999),
-171.23,66.87,5,0.51,27.66,-2.05,**,1993,9,Cooper et al (1999),
-157.02,71.5,15,-1.11,27.66,-1.37,**,1993,8,Cooper et al (1999),
130.5,74.75,12,3.51,27.67,-5.45,**,2007,9,Abrahamsen et al (2009),
142.23,79.92,2,2.27,27.67,-5.38,**,2007,9,Abrahamsen et al (2009),
-134.6,70.95,1,9.36,27.67,-5.03,**,1984,10,Ostlund and Grall (1993),
-148.52,70.42,1,11.6,27.7,-4.49,**,1977,7,Bedard et al (1981),
130.5,74.25,13,3.97,27.71,-5.7,**,2007,9,Abrahamsen et al (2009),
-157.48,71.4,2,-1.02,27.71,-1.56,**,1993,8,Cooper et al (1999),
-156.69,71.55,0,2.06,27.73,-0.9,**,1992,8,Cooper et al (1997),
-169.64,65.99,15,2.93,27.74,-2.04,**,1993,9,Cooper et al (1999),
143.33,54.01,9,12.76,27.76,-2.57,**,1999,9,Yamamoto et al (2002),
-153.3,72.51,2,-1.01,27.77,-3.45,**,2002,7,Cooper et al (2005),
-157.48,71.4,10,-1.06,27.77,-1.59,**,1993,8,Cooper et al (1999),
159.33,79.75,6,-1.49,27.78,-4.52,**,2008,10,Abrahamsen et al (2009),
-158.44,72.73,11,-0.96,27.8,-3.32,**,2002,8,Cooper et al (2005),
170,71.17,0,1.36,27.8,-2.32,**,1995,8,Munchow et al (1999),
130.48,75.25,7,3.37,27.82,-5.44,**,2007,9,Abrahamsen et al (2009),
-141.4,71.45,10,-1.48,27.82,-3.77,**,1984,10,Ostlund and Grall (1993),
130.5,74.25,15,3.9,27.83,-5.43,**,2007,9,Abrahamsen et al (2009),
-164.47,66.64,16,10.79,27.85,-4.04,**,1990,9,Cooper et al (1997),
168,70.67,0,1.22,27.86,-4.54,**,1995,8,Munchow et al (1999),
-178.25,68.83,0,6.14,27.86,-1.72,**,1995,8,Munchow et al (1999),
-177.07,68.94,9,1.63,27.89,-2.88,**,1992,10,Cooper et al (1997),
133.34,76.54,4,-0.12,27.9,-4.39,**,1993,9,Frank (1996),
-155.13,71.78,0,3.5,27.9,-1.1,**,1992,8,Cooper et al (1997),
134,72.5,18,-1.05,27.91,-9.41,**,1994,9,Mueller-Lupp et al (2003),
130.48,75.25,9,3.33,27.91,-5.41,**,2007,9,Abrahamsen et al (2009),
130.5,76,9,3.66,27.91,-5.09,**,2007,9,Abrahamsen et al (2009),
-173.2,68.2,11,1.53,27.91,-2.8,**,1992,10,Cooper et al (1997),
-159.29,71.1,2,0.82,27.91,-1.1,**,1993,8,Cooper et al (1999),
159.33,79.75,12,-1.47,27.95,-4.41,**,2008,10,Abrahamsen et al (2009),
-159.09,73.71,11,-0.88,28,-3.53,**,2002,8,Cooper et al (2005),
-165.4,73.63,15,-0.18,28,-3.3,**,2002,8,Cooper et al (2005),
-145.25,70.17,1,3.9,28,-2.25,**,1977,7,Bedard et al (1981),
-179.25,69.15,0,6.08,28.11,-1.98,**,1995,8,Munchow et al (1999),
159.67,79.9,6,-1.47,28.12,-4.41,**,2008,10,Abrahamsen et al (2009),
-175.93,69.53,8,-0.09,28.13,-2.5,**,1992,10,Cooper et al (1997),
-154.28,71.35,15,1.84,28.13,-2.09,**,1992,8,Cooper et al (1997),
124,75.5,2,-0.54,28.15,-4.73,**,1994,9,Mueller-Lupp et al (2003),
130.48,75.25,11,3.31,28.17,-5.2,**,2007,9,Abrahamsen et al (2009),
-165.96,72.4,10,-0.67,28.17,-1.03,**,1993,8,Cooper et al (1999),
125.98,74.75,3,2.12,28.22,-5.28,**,2007,9,Abrahamsen et al (2009),
125.98,74.75,0,2.12,28.22,-5.13,**,2007,9,Abrahamsen et al (2009),
144.12,80.33,2,2.02,28.22,-4.69,**,2007,9,Abrahamsen et al (2009),
125.98,74.75,5,2.12,28.24,-5.13,**,2007,9,Abrahamsen et al (2009),
161.25,80.33,6,-1.54,28.24,-4.39,**,2008,10,Abrahamsen et al (2009),
169,70.83,0,1.52,28.25,-2.31,**,1995,8,Munchow et al (1999),
126,75.25,3,2.14,28.28,-4.72,**,2007,9,Abrahamsen et al (2009),
-163.6,66.64,20,10.83,28.28,-3.53,**,1990,9,Cooper et al (1997),
-157.4,73.42,10,-0.64,28.28,-3.52,**,2002,8,Cooper et al (2005),
-173.6,68.1,11,1.96,28.29,-2.54,**,1992,10,Cooper et al (1997),
143.52,53,3,12.41,28.29,-2.4,**,1999,9,Yamamoto et al (2002),
126,75.25,1,2.28,28.3,-5.18,**,2007,9,Abrahamsen et al (2009),
-163.5,66.78,16,10.69,28.3,-3.76,**,1990,9,Cooper et al (1997),
-161.09,72.8,2,-0.29,28.3,-2.91,**,2002,8,Cooper et al (2005),
-158.4,74.6,0,**,28.3,,-29.2,**,**,Friedman et al (1961),Friedman and Redfield (1969)
-166.83,62.22,0,8.79,28.31,-4.63,**,1990,6,Cooper et al (1997),
161.25,80.33,12,-1.54,28.31,-4.41,**,2008,10,Abrahamsen et al (2009),
126,74.25,0,3.21,28.32,-6.11,**,2007,9,Abrahamsen et al (2009),
126,74.25,3,3.21,28.32,-5.51,**,2007,9,Abrahamsen et al (2009),
-171,66.93,9,1.25,28.33,-2.05,**,1993,9,Cooper et al (1999),
143.5,52.98,0,10.91,28.34,-2.84,**,1998,7,Yamamoto et al (2002),
-168.21,65.69,38,5.83,28.35,-3.43,**,1993,9,Cooper et al (1999),
144.33,54,0,16.44,28.38,-2.69,**,1998,7,Yamamoto et al (2002),
139.6,80.58,2,2.73,28.39,-4.66,**,2007,9,Abrahamsen et al (2009),
-134.17,70.73,1,9.58,28.39,-4.63,**,1984,10,Ostlund and Grall (1993),
-166.48,72.7,2,-0.38,28.39,-1.37,**,1993,8,Cooper et al (1999),
125.98,74.75,8,2.04,28.41,-5.07,**,2007,9,Abrahamsen et al (2009),
-154.33,71.04,8,1.5,28.41,-1.91,**,1992,8,Cooper et al (1997),
131,75,12,**,28.42,-6.2,**,1989,9,Letolle et al (1993),
-169.5,67.43,6,1.05,28.44,-1.93,**,1993,9,Cooper et al (1999),
-140.98,71.72,20,-0.81,28.47,-3.25,**,1984,10,Ostlund and Grall (1993),
-152.29,71.7,11,-1.22,28.48,-2.91,**,2002,8,Cooper et al (2005),
-154.28,71.35,20,1.62,28.49,-1.98,**,1992,8,Cooper et al (1997),
-154.97,71.88,0,3.9,28.5,-1.21,**,1992,8,Cooper et al (1997),
-169.96,67.28,4,1.83,28.52,-2.08,**,1993,9,Cooper et al (1999),
162.18,80.55,7,-1.55,28.53,-4.41,**,2008,10,Abrahamsen et al (2009),
-136.38,69.87,3,**,28.54,-6.6,**,1987,3,H. Melling (pers. comm.),
162.18,80.55,11,-1.55,28.54,-4.35,**,2008,10,Abrahamsen et al (2009),
-155.72,74.4,10,-1.44,28.56,-3.22,**,1993,8,Cooper et al (1999),
144.93,53.01,0,17.73,28.59,-2.62,**,1998,7,Yamamoto et al (2002),
